iter	RMSE
0	1.883507674
1	1.836927348
2	1.791138337
3	1.746963024
4	1.704617055
5	1.66302382
6	1.622713921
7	1.583765974
8	1.545295462
9	1.508991061
10	1.471699739
11	1.436814909
12	1.401677413
13	1.368597886
14	1.336196682
15	1.304846115
16	1.275907416
17	1.246519994
18	1.218671213
19	1.191543757
20	1.164955875
21	1.139820663
22	1.114676812
23	1.090159999
24	1.064636889
25	1.042090922
26	1.019413744
27	0.996588201
28	0.9762170811
29	0.9548913099
30	0.9358971468
31	0.9175997345
32	0.8982716881
33	0.8788583744
34	0.860092232
35	0.8423836017
36	0.82637639
37	0.8102368381
38	0.7934995611
39	0.7779815689
40	0.7637768335
41	0.7498807482
42	0.7347268639
43	0.7216472053
44	0.7079045107
45	0.6943398041
46	0.6820691393
47	0.6710212792
48	0.6592825233
49	0.6477384745
50	0.6367901741
51	0.6263646396
52	0.6149283707
53	0.6034961036
54	0.5931337025
55	0.5820211634
56	0.57266545
57	0.563464788
58	0.5548319799
59	0.5454620068
60	0.5378627289
61	0.5297889293
62	0.5220934575
63	0.5149849899
64	0.5071377944
65	0.5005507142
66	0.4943694313
67	0.4882610119
68	0.4818200176
69	0.4752677155
70	0.4675630485
71	0.4616820396
72	0.4565372022
73	0.450637486
74	0.4446680697
75	0.4385104359
76	0.4332478595
77	0.4283797687
78	0.4238573985
79	0.4179694666
80	0.4137610854
81	0.4093071045
82	0.4042176661
83	0.399868218
84	0.3952433287
85	0.3916088116
86	0.3874343871
87	0.3833390364
88	0.3791999003
89	0.3753408928
90	0.3702731909
91	0.3660620375
92	0.3633069635
93	0.359646091
94	0.3562631503
95	0.3532290065
96	0.3502913267
97	0.3466478117
98	0.3438890731
99	0.3410697206
100	0.3385983814
101	0.3363655844
102	0.3332193213
103	0.3295312459
104	0.3266795179
105	0.3240620202
106	0.3211177046
107	0.3190917286
108	0.31680704
109	0.3143712789
110	0.3111268203
111	0.3087324974
112	0.3068352081
113	0.3046916509
114	0.3021900227
115	0.3002608235
116	0.2977919674
117	0.2951593116
118	0.2930437177
119	0.2909827817
120	0.2889326668
121	0.2868295739
122	0.2845041338
123	0.2826853824
124	0.2805577954
125	0.2782751279
126	0.2769751631
127	0.2756935716
128	0.2741741207
129	0.273056963
130	0.2714496603
131	0.2701590736
132	0.2683560843
133	0.2660710601
134	0.264313084
135	0.2626815656
136	0.2609796006
137	0.2596646903
138	0.2582615725
139	0.2572411841
140	0.2556581268
141	0.2540179772
142	0.2528428908
143	0.2514586561
144	0.2502797722
145	0.2493378388
146	0.2482963894
147	0.2472021467
148	0.2457804865
149	0.2446334903
150	0.2434450856
151	0.2426750155
152	0.2413239027
153	0.2397762361
154	0.2387076837
155	0.2379349684
156	0.2371868877
157	0.2362670813
158	0.2350860716
159	0.2342797929
160	0.2328510357
161	0.2316277564
162	0.2303603434
163	0.2292449716
164	0.2277902625
165	0.2267561173
166	0.2255449046
167	0.2248853308
168	0.2236221975
169	0.2229346359
170	0.2218524518
171	0.2210770653
172	0.2201917162
173	0.2195034345
174	0.2187742561
175	0.2182337099
176	0.2173964132
177	0.2163069627
178	0.2154950531
179	0.2146744408
180	0.2138069398
181	0.2130229052
182	0.2123042199
183	0.2114603008
184	0.2103485666
185	0.209398006
186	0.2087893327
187	0.2083123171
188	0.2077059141
189	0.2068068556
190	0.2059088864
191	0.2053226943
192	0.2047570608
193	0.2039914549
194	0.2031328932
195	0.20255563
196	0.2016155542
197	0.2011375102
198	0.2005580754
199	0.1999117899
200	0.1990348809
201	0.1981583178
202	0.1976334017
203	0.1972121038
204	0.1966421451
205	0.1960041417
206	0.1955295101
207	0.1945466776
208	0.1940913463
209	0.1936704076
210	0.1929780772
211	0.192519051
212	0.1921657652
213	0.1917236641
214	0.1912214081
215	0.1908370565
216	0.1901743021
217	0.1896614689
218	0.1892271084
219	0.1885601281
220	0.1879590852
221	0.1873463671
222	0.1869865174
223	0.1864983164
224	0.1861035307
225	0.1855369178
226	0.1852932869
227	0.184885656
228	0.1845112288
229	0.1840633444
230	0.1836080212
231	0.182978091
232	0.1826319498
233	0.1823849669
234	0.1818264567
235	0.1813133489
236	0.1807075413
237	0.1801980424
238	0.1796270123
239	0.1792600508
240	0.1786920716
241	0.1783656418
242	0.1780141234
243	0.1774830432
244	0.1771932747
245	0.1768154671
246	0.1762558057
247	0.1756887542
248	0.1751904497
249	0.1748629133
250	0.1745405401
251	0.1743129258
252	0.1738415196
253	0.1734517124
254	0.1732634407
255	0.1728216645
256	0.1723289681
257	0.1719958525
258	0.171547615
259	0.1709484051
260	0.1707000584
261	0.1703831128
262	0.1701161961
263	0.1696944943
264	0.1692477284
265	0.1689096426
266	0.1682806836
267	0.1679923507
268	0.1675658443
269	0.1672222304
270	0.1669644555
271	0.1664601471
272	0.1660374369
273	0.1658040211
274	0.1653661331
275	0.1652080795
276	0.1648656081
277	0.1645969786
278	0.1643471346
279	0.1640817173
280	0.1636096157
281	0.1632632174
282	0.1629351224
283	0.1625766704
284	0.1622374078
285	0.1619626285
286	0.1617785119
287	0.1615595967
288	0.1613111653
289	0.1609077881
290	0.1605861853
291	0.1603383412
292	0.1598932071
293	0.1596062148
294	0.1594165073
295	0.1590686151
296	0.1587422144
297	0.1585300538
298	0.1582878697
299	0.1579580644
300	0.1575357998
301	0.1572680014
302	0.1570923012
303	0.1566412666
304	0.1563751775
305	0.1560866853
306	0.1558288629
307	0.1555742722
308	0.15532185
309	0.1550733118
310	0.1546622939
311	0.1544528464
312	0.1541460172
313	0.1539413659
314	0.1536988708
315	0.1535113619
316	0.1531914935
317	0.1530456246
318	0.1528021118
319	0.1525262097
320	0.152251528
321	0.1519859707
322	0.1517321328
323	0.151571006
324	0.1514051127
325	0.151035662
326	0.150862955
327	0.1506964661
328	0.1505046863
329	0.1502443633
330	0.1499966629
331	0.1497335584
332	0.1495161731
333	0.1491610781
334	0.1489179973
335	0.148642688
336	0.1484215399
337	0.1481869079
338	0.1479193456
339	0.1476702907
340	0.1474973996
341	0.1472514123
342	0.1471055056
343	0.1468922888
344	0.1467290966
345	0.14651227
346	0.1462510673
347	0.1459964707
348	0.1457552029
349	0.1455576009
350	0.1454402035
351	0.1451860867
352	0.1450066769
353	0.1448381389
354	0.1446105157
355	0.1443787995
356	0.144155694
357	0.1439373285
358	0.1435709417
359	0.1432835256
360	0.143006514
361	0.1428656633
362	0.1426006788
363	0.1424961021
364	0.142332972
365	0.1420959756
366	0.141929425
367	0.1416860372
368	0.1413463944
369	0.141180774
370	0.141029007
371	0.1408270999
372	0.1405393324
373	0.1403179664
374	0.140150729
375	0.1399200378
376	0.1397097431
377	0.1394016165
378	0.1392410537
379	0.1389399332
380	0.138599929
381	0.1384673657
382	0.1382393154
383	0.1380375307
384	0.1377405167
385	0.1375004896
386	0.1372556118
387	0.137070988
388	0.1368693445
389	0.1367553156
390	0.1365687637
391	0.1363571
392	0.1361943212
393	0.1360581524
394	0.1359049409
395	0.1356528474
396	0.1354712421
397	0.1353137076
398	0.1351636864
399	0.1350290415
400	0.1348157943
401	0.1346198566
402	0.1343980955
403	0.1342216593
404	0.1340302116
405	0.133837719
406	0.1336775665
407	0.1333904089
408	0.1332818161
409	0.1330123546
410	0.1326762647
411	0.132455926
412	0.1322672958
413	0.1321226851
414	0.1319571397
415	0.1317556045
416	0.1316027459
417	0.1314258462
418	0.1312493631
419	0.1311168848
420	0.1309127998
421	0.13065712
422	0.1304447502
423	0.1303332988
424	0.1301806842
425	0.1300200218
426	0.1297290096
427	0.1295983029
428	0.1294743584
429	0.1291964795
430	0.1290991179
431	0.1290100792
432	0.12873578
433	0.1285623231
434	0.1284699344
435	0.128254191
436	0.1280931978
437	0.1278666987
438	0.1276493342
439	0.1273441044
440	0.1272212525
441	0.1270742356
442	0.1269431458
443	0.1268219448
444	0.1266440577
445	0.1264446975
446	0.1262739598
447	0.1260941591
448	0.1259608523
449	0.125840365
450	0.125671218
451	0.1254976499
452	0.1253128534
453	0.1251565015
454	0.1250073359
455	0.1248403928
456	0.1246948666
457	0.1244915109
458	0.1244157005
459	0.124192583
460	0.1239880913
461	0.123837671
462	0.1237313593
463	0.1236052362
464	0.1233960372
465	0.1232804467
466	0.1231369933
467	0.1230351493
468	0.122946417
469	0.1228504618
470	0.1226916659
471	0.1225503879
472	0.1224347876
473	0.1223062194
474	0.1221310257
475	0.1220142336
476	0.1219254744
477	0.1218078924
478	0.1216229737
479	0.1214593788
480	0.1213777212
481	0.1212059452
482	0.1210679398
483	0.1209569975
484	0.1208720797
485	0.1206795107
486	0.1205466856
487	0.1204279111
488	0.120284638
489	0.1201542528
490	0.1200699096
491	0.1199732167
492	0.119847813
493	0.1196943677
494	0.1195303721
495	0.1194592468
496	0.1193142167
497	0.1192051381
498	0.1190118457
499	0.1189182193
500	0.1188442477
501	0.1186643164
502	0.1185670226
503	0.1184395177
504	0.1182747973
505	0.118104807
506	0.1180517759
507	0.1178997044
508	0.1177998478
509	0.117673735
510	0.1176067682
511	0.1174811438
512	0.1173825071
513	0.1172328272
514	0.1171025752
515	0.1169724925
516	0.1168622961
517	0.1167735115
518	0.1167296121
519	0.1166377964
520	0.1165596348
521	0.1163558891
522	0.1162200091
523	0.1159917785
524	0.1158494999
525	0.1157285853
526	0.1156678843
527	0.1155304791
528	0.1153869652
529	0.1152175058
530	0.1150484855
531	0.1148862614
532	0.1147633785
533	0.1146746178
534	0.1145588318
535	0.1143986235
536	0.1142816743
537	0.1141927284
538	0.1140419869
539	0.1138614234
540	0.1136121641
541	0.11353334
542	0.1133715776
543	0.1131980564
544	0.1130796748
545	0.1129339283
546	0.1128183755
547	0.1127580475
548	0.1126487385
549	0.1124833618
550	0.1123328713
551	0.1122119416
552	0.112126276
553	0.1120847824
554	0.1119169911
555	0.1118546851
556	0.1117721162
557	0.1117054256
558	0.111597128
559	0.1114764504
560	0.1113019141
561	0.1112473863
562	0.1111329605
563	0.1110869221
564	0.1110419612
565	0.1109038093
566	0.1108331249
567	0.1106577281
568	0.1105125703
569	0.1104103575
570	0.1102627502
571	0.1101954266
572	0.1101195291
573	0.1100076138
574	0.1099372486
575	0.1098608354
576	0.1096636028
577	0.1095705167
578	0.1094278915
579	0.1093915008
580	0.1092652851
581	0.1091187876
582	0.1089835447
583	0.1089105825
584	0.1087730512
585	0.1087057906
586	0.1086302289
587	0.1084703457
588	0.1083410045
589	0.108231702
590	0.1081452094
591	0.1080799378
592	0.1080024749
593	0.1079028706
594	0.1077887069
595	0.1076531062
596	0.1076101957
597	0.1074580586
598	0.1073167666
599	0.1072565273
600	0.1071758684
601	0.1071182606
602	0.1069898012
603	0.106861951
604	0.1066932319
605	0.1065259506
606	0.1064130295
607	0.1063179092
608	0.1062252693
609	0.106113225
610	0.1060285284
611	0.1059995816
612	0.1058750004
613	0.1057927387
614	0.1057118606
615	0.105591239
616	0.1055563051
617	0.1054654198
618	0.105398275
619	0.1053461108
620	0.1052382862
621	0.1052011206
622	0.1050967387
623	0.1049562181
624	0.1049033973
625	0.1048145558
626	0.1047383124
627	0.1046316223
628	0.1044687781
629	0.1044371722
630	0.1043434977
631	0.1041688219
632	0.1040782912
633	0.1039521926
634	0.1037949622
635	0.1036593892
636	0.1035783998
637	0.1034863058
638	0.1034402799
639	0.1033323926
640	0.103169986
641	0.1030789118
642	0.103045824
643	0.102934961
644	0.1028107434
645	0.1027396823
646	0.1026166439
647	0.1025850713
648	0.1025010948
649	0.1024251358
650	0.1023518756
651	0.1022738073
652	0.1021122321
653	0.1019818375
654	0.1018917584
655	0.1018409157
656	0.1017378717
657	0.1016874572
658	0.1016055791
659	0.1014873794
660	0.1014170399
661	0.1012950041
662	0.1011034414
663	0.1009657033
664	0.1008874562
665	0.1008087955
666	0.100737386
667	0.1006881533
668	0.1006329606
669	0.1005625127
670	0.1005289161
671	0.1004547834
672	0.1003250352
673	0.1002213829
674	0.100047995
675	0.09997565277
676	0.09995072506
677	0.09992151843
678	0.09983863165
679	0.09980020003
680	0.09969816564
681	0.09964428691
682	0.0995616053
683	0.09949349035
684	0.09938386018
685	0.09935423591
686	0.09918117741
687	0.09911633374
688	0.09907472472
689	0.09904561937
690	0.09894530759
691	0.09890413499
692	0.09884220887
693	0.09878749328
694	0.09869248221
695	0.09856061874
696	0.0984598982
697	0.09840083947
698	0.09832365531
699	0.09828973155
700	0.09818548626
701	0.09809285319
702	0.09801416036
703	0.097965179
704	0.09787403067
705	0.09779161857
706	0.09776495964
707	0.09765534694
708	0.09754631752
709	0.09751877343
710	0.09745657304
711	0.0974290276
712	0.09731315705
713	0.09727122777
714	0.09716153385
715	0.09709064938
716	0.09702620876
717	0.09694693087
718	0.09690904928
719	0.09687978321
720	0.09683690676
721	0.09677463649
722	0.09672633691
723	0.09663814253
724	0.0965569297
725	0.09644826599
726	0.0963718999
727	0.09631429523
728	0.09624789006
729	0.09621095067
730	0.09613651669
731	0.09611051407
732	0.09606325744
733	0.09601235341
734	0.09592720408
735	0.0957720129
736	0.09574983926
737	0.09568953582
738	0.09556075753
739	0.09548580604
740	0.09544650467
741	0.09539961027
742	0.0953585478
743	0.09528662751
744	0.09523028229
745	0.09511581365
746	0.095083708
747	0.09497604523
748	0.0949200956
749	0.09484707759
750	0.0948231834
751	0.09474281194
752	0.09467701087
753	0.09463430508
754	0.09453792785
755	0.09443656981
756	0.09435814172
757	0.09433479003
758	0.0942599495
759	0.09416280366
760	0.0941427569
761	0.09404764559
762	0.09400212082
763	0.09394951826
764	0.09386765681
765	0.09380774725
766	0.09373057015
767	0.09367070841
768	0.09360268257
769	0.0935267241
770	0.09346185669
771	0.09342420756
772	0.09332507798
773	0.09322295339
774	0.09316267809
775	0.0931082602
776	0.09304636572
777	0.09296912359
778	0.09287490332
779	0.09280762572
780	0.09278563364
781	0.09276076855
782	0.09273599752
783	0.09266227362
784	0.09263983657
785	0.09259824256
786	0.09245432117
787	0.09237314123
788	0.09231904459
789	0.09228460548
790	0.09221621644
791	0.09218534417
792	0.09212074271
793	0.09202044787
794	0.0919584668
795	0.09186603122
796	0.0918004961
797	0.09167216674
798	0.09164874893
799	0.09154472125
800	0.09149374851
801	0.09147242062
802	0.09141499137
803	0.0913644914
804	0.09133004827
805	0.09127949478
806	0.09122346991
807	0.09112039288
808	0.09103917619
809	0.0909985323
810	0.09093645732
811	0.09086861853
812	0.09082513661
813	0.09072564034
814	0.09070145842
815	0.09068405863
816	0.09062868897
817	0.09059817765
818	0.0904860395
819	0.09046560143
820	0.09035064719
821	0.0903116288
822	0.0902473802
823	0.09021312117
824	0.09014010091
825	0.09008024518
826	0.0900591622
827	0.08997595498
828	0.08990127176
829	0.08980803446
830	0.0897687619
831	0.08964207262
832	0.08961422345
833	0.08951166315
834	0.08948481408
835	0.08946353283
836	0.08939557385
837	0.08934640089
838	0.08927705153
839	0.08921657773
840	0.08911791012
841	0.08907840219
842	0.08903729701
843	0.08898461934
844	0.08882937134
845	0.08874650208
846	0.08865481163
847	0.08860206444
848	0.08854846377
849	0.08852479287
850	0.08843572956
851	0.08840003937
852	0.088360741
853	0.08831176441
854	0.08820834107
855	0.08811458674
856	0.08804239142
857	0.08799955283
858	0.08791960335
859	0.08784929149
860	0.08777367469
861	0.08774453328
862	0.08764179855
863	0.08760624231
864	0.08756684588
865	0.08747029442
866	0.08741323516
867	0.08734232835
868	0.08725066872
869	0.08717975459
870	0.0871149976
871	0.08707615754
872	0.0870313566
873	0.08698412772
874	0.08688551314
875	0.08681052795
876	0.08675938363
877	0.08673813462
878	0.086661818
879	0.08664639027
880	0.08659209217
881	0.08649754749
882	0.0864202791
883	0.08636006488
884	0.08631472234
885	0.08622651028
886	0.08620704686
887	0.08613659688
888	0.08608496482
889	0.08602194586
890	0.08595167554
891	0.0858943013
892	0.08582737323
893	0.0857406859
894	0.08571473596
895	0.0856234518
896	0.08554828656
897	0.08547235645
898	0.08540646609
899	0.08536475947
900	0.08530325211
901	0.08524895562
902	0.08518344454
903	0.08513616829
904	0.08510917264
905	0.0850885659
906	0.08506319475
907	0.08500269022
908	0.08496017537
909	0.08493437741
910	0.08486714853
911	0.08479046243
912	0.08471001345
913	0.08467158375
914	0.08461911485
915	0.08452535722
916	0.08447519924
917	0.08442726864
918	0.08435532644
919	0.08432252912
920	0.08426403016
921	0.08422581798
922	0.08413145228
923	0.08406048483
924	0.08399841396
925	0.08392785407
926	0.08383960988
927	0.08376324654
928	0.08368301922
929	0.08361111039
930	0.08358944349
931	0.08350326986
932	0.08345942221
933	0.08337173383
934	0.08331366717
935	0.08327349804
936	0.08324931331
937	0.08319676132
938	0.08316069297
939	0.083144487
940	0.08307755903
941	0.08303549264
942	0.08299457362
943	0.08289561248
944	0.08278791655
945	0.08276983368
946	0.08273805233
947	0.0826716877
948	0.08264575064
949	0.08260644193
950	0.08254873643
951	0.08250353385
952	0.08248044957
953	0.08246712011
954	0.08240814534
955	0.08236368235
956	0.08231937796
957	0.08226388534
958	0.08220951481
959	0.0821874051
960	0.08213903674
961	0.08207486764
962	0.08203747588
963	0.08198922889
964	0.08192290091
965	0.08183658399
966	0.08180752703
967	0.08178513516
968	0.08171627728
969	0.08169883742
970	0.08167760281
971	0.08164477967
972	0.08162787027
973	0.08160606639
974	0.08153600587
975	0.08142648165
976	0.08140994391
977	0.08138830326
978	0.08136722248
979	0.08128664792
980	0.08122260237
981	0.0811955133
982	0.08115900967
983	0.08114091913
984	0.08112603586
985	0.08110825433
986	0.08106290319
987	0.081018663
988	0.08096763302
989	0.08090604003
990	0.0808905549
991	0.08087816692
992	0.08086257335
993	0.080817945
994	0.08073535941
995	0.08072010347
996	0.0806751771
997	0.08061544423
998	0.08056195455
999	0.08048672325
1000	0.08040334891
1001	0.08034877286
1002	0.0803056178
1003	0.08029074271
1004	0.08024494698
1005	0.08017172914
1006	0.08010945932
1007	0.08005906858
1008	0.08004169567
1009	0.07998644894
1010	0.07994421602
1011	0.07990084896
1012	0.07984523015
1013	0.07976669832
1014	0.07969423047
1015	0.07964061092
1016	0.07960019201
1017	0.07956712234
1018	0.0795436085
1019	0.07950177647
1020	0.07943793435
1021	0.07938461891
1022	0.07930958353
1023	0.07926629546
1024	0.07921293067
1025	0.07918030842
1026	0.07914051679
1027	0.079102267
1028	0.07904388362
1029	0.07897309806
1030	0.07891858096
1031	0.0789021844
1032	0.07884523379
1033	0.0788001515
1034	0.07873593437
1035	0.07869109415
1036	0.07866330003
1037	0.07864708472
1038	0.07861165032
1039	0.0785510769
1040	0.07851347492
1041	0.07845456661
1042	0.07840652773
1043	0.07837454513
1044	0.07835852421
1045	0.07826679091
1046	0.07821421847
1047	0.07814842605
1048	0.07812783953
1049	0.0781078488
1050	0.07808186497
1051	0.07806666864
1052	0.07800668789
1053	0.07799122898
1054	0.07795242211
1055	0.07789312223
1056	0.07784905056
1057	0.07782025768
1058	0.07780498524
1059	0.07775182331
1060	0.07765550673
1061	0.07759862445
1062	0.07755523195
1063	0.0775103299
1064	0.07747013539
1065	0.07742036799
1066	0.07740568708
1067	0.07734125335
1068	0.07730328614
1069	0.07725854982
1070	0.07722672127
1071	0.07717567707
1072	0.07713966414
1073	0.07706955934
1074	0.07700802676
1075	0.07698011044
1076	0.07691806868
1077	0.07688383172
1078	0.07682962553
1079	0.07677792392
1080	0.07673275837
1081	0.07667949449
1082	0.07666459899
1083	0.07661015096
1084	0.07656372007
1085	0.07653685571
1086	0.07652260671
1087	0.07650707939
1088	0.07649084908
1089	0.07647655299
1090	0.07644245925
1091	0.07640362075
1092	0.07636560011
1093	0.07631672781
1094	0.07627167114
1095	0.07619060474
1096	0.07613881535
1097	0.07608763409
1098	0.07604838564
1099	0.07600726488
1100	0.07595649163
1101	0.07591391185
1102	0.0758920594
1103	0.07587863683
1104	0.07583998454
1105	0.07578571738
1106	0.07575301853
1107	0.07569624995
1108	0.07565193313
1109	0.07563051363
1110	0.07559312836
1111	0.07553199135
1112	0.07548587946
1113	0.07542647392
1114	0.07534063691
1115	0.07530629261
1116	0.07528925267
1117	0.07522912404
1118	0.07521681929
1119	0.07519571245
1120	0.07518074098
1121	0.07514747411
1122	0.07510688703
1123	0.07505497355
1124	0.07500736769
1125	0.07495741877
1126	0.07489311905
1127	0.07488143977
1128	0.07486845159
1129	0.07478972061
1130	0.07476940418
1131	0.07473349635
1132	0.07468464016
1133	0.0745954107
1134	0.07458381031
1135	0.0745539431
1136	0.07451899795
1137	0.07448598228
1138	0.07443305971
1139	0.0743842575
1140	0.07431520682
1141	0.07430272971
1142	0.07427364013
1143	0.07421883839
1144	0.0741754881
1145	0.0741314729
1146	0.07409904297
1147	0.07406625993
1148	0.07402976314
1149	0.07398942469
1150	0.07394923702
1151	0.07388230281
1152	0.07386215694
1153	0.07384994227
1154	0.07381277682
1155	0.07377549678
1156	0.07375692425
1157	0.07372566246
1158	0.07371234896
1159	0.07369337164
1160	0.07363431592
1161	0.07359658794
1162	0.07357714836
1163	0.07353672988
1164	0.07349176878
1165	0.07343641712
1166	0.07340283112
1167	0.07334701657
1168	0.0732963926
1169	0.07327793866
1170	0.07324941946
1171	0.0731991286
1172	0.07317071803
1173	0.07315908697
1174	0.07311495318
1175	0.07307121517
1176	0.07297116497
1177	0.07294077625
1178	0.07288728991
1179	0.07286923508
1180	0.07282901757
1181	0.07278966646
1182	0.07271816787
1183	0.07268464799
1184	0.07266881029
1185	0.07263296802
1186	0.07260122492
1187	0.07256509525
1188	0.07253133525
1189	0.07247747752
1190	0.07244867879
1191	0.07240165251
1192	0.07235362086
1193	0.07232461229
1194	0.07227626878
1195	0.07224191266
1196	0.07220106902
1197	0.07217284044
1198	0.07214455432
1199	0.07210434172
