iter	Passed	Remaining
0	7	9170
1	14	8773
2	21	8757
3	28	8645
4	36	8651
5	43	8747
6	51	8763
7	58	8766
8	66	8745
9	73	8747
10	81	8770
11	88	8741
12	95	8721
13	103	8791
14	112	8858
15	120	8939
16	129	8988
17	139	9146
18	149	9283
19	160	9444
20	170	9582
21	179	9596
22	187	9591
23	196	9606
24	204	9617
25	213	9618
26	222	9646
27	230	9643
28	238	9631
29	247	9633
30	256	9657
31	265	9686
32	273	9673
33	282	9671
34	290	9673
35	299	9678
36	309	9722
37	318	9742
38	326	9730
39	334	9714
40	344	9724
41	352	9720
42	361	9717
43	369	9712
44	380	9763
45	389	9774
46	398	9778
47	406	9763
48	415	9756
49	424	9753
50	433	9763
51	443	9786
52	453	9820
53	464	9855
54	473	9864
55	481	9842
56	490	9831
57	498	9818
58	506	9803
59	515	9790
60	523	9780
61	531	9763
62	540	9750
63	548	9734
64	559	9764
65	569	9779
66	578	9775
67	586	9758
68	594	9742
69	602	9729
70	610	9713
71	619	9698
72	626	9679
73	635	9663
74	642	9643
75	651	9638
76	659	9620
77	668	9612
78	677	9618
79	686	9609
80	694	9596
81	702	9578
82	710	9567
83	719	9563
84	729	9574
85	738	9560
86	746	9543
87	753	9526
88	762	9516
89	770	9506
90	778	9493
91	787	9480
92	795	9464
93	805	9475
94	814	9477
95	823	9471
96	831	9458
97	840	9447
98	848	9439
99	856	9420
100	864	9403
101	871	9386
102	882	9399
103	891	9391
104	899	9377
105	907	9365
106	915	9356
107	923	9342
108	934	9349
109	943	9352
110	954	9359
111	963	9362
112	973	9365
113	981	9351
114	989	9335
115	997	9320
116	1005	9308
117	1013	9295
118	1021	9280
119	1029	9263
120	1037	9249
121	1045	9234
122	1053	9226
123	1061	9209
124	1069	9195
125	1077	9185
126	1085	9170
127	1093	9154
128	1102	9154
129	1111	9150
130	1120	9147
131	1128	9132
132	1136	9121
133	1145	9110
134	1153	9103
135	1163	9100
136	1172	9098
137	1182	9098
138	1192	9100
139	1201	9093
140	1210	9095
141	1221	9100
142	1230	9098
143	1239	9090
144	1248	9080
145	1256	9071
146	1266	9069
147	1274	9062
148	1284	9058
149	1293	9053
150	1302	9045
151	1311	9042
152	1321	9046
153	1331	9046
154	1341	9046
155	1351	9042
156	1360	9037
157	1370	9039
158	1379	9031
159	1387	9018
160	1395	9007
161	1403	8993
162	1411	8981
163	1419	8967
164	1427	8955
165	1435	8943
166	1443	8931
167	1451	8918
168	1459	8905
169	1468	8898
170	1476	8887
171	1484	8875
172	1494	8869
173	1503	8864
174	1512	8860
175	1522	8857
176	1531	8854
177	1541	8853
178	1549	8839
179	1557	8827
180	1566	8816
181	1574	8807
182	1582	8793
183	1590	8782
184	1598	8771
185	1606	8759
186	1614	8746
187	1622	8733
188	1632	8734
189	1641	8725
190	1649	8716
191	1658	8705
192	1666	8696
193	1676	8691
194	1685	8688
195	1693	8676
196	1702	8667
197	1710	8656
198	1718	8644
199	1727	8636
200	1737	8634
201	1745	8624
202	1753	8610
203	1760	8597
204	1769	8589
205	1779	8586
206	1789	8583
207	1799	8584
208	1808	8572
209	1816	8562
210	1824	8550
211	1831	8537
212	1839	8525
213	1848	8515
214	1856	8503
215	1865	8500
216	1875	8495
217	1884	8488
218	1892	8479
219	1900	8467
220	1909	8458
221	1917	8445
222	1926	8440
223	1936	8436
224	1945	8430
225	1955	8426
226	1963	8416
227	1971	8402
228	1979	8391
229	1987	8381
230	1995	8370
231	2003	8361
232	2011	8349
233	2019	8336
234	2028	8328
235	2037	8322
236	2045	8310
237	2053	8299
238	2061	8288
239	2070	8281
240	2079	8275
241	2087	8264
242	2095	8252
243	2103	8239
244	2111	8230
245	2119	8220
246	2127	8209
247	2137	8205
248	2146	8196
249	2154	8186
250	2162	8176
251	2170	8164
252	2178	8154
253	2186	8141
254	2193	8130
255	2203	8125
256	2211	8115
257	2219	8105
258	2228	8095
259	2237	8088
260	2246	8081
261	2256	8077
262	2264	8067
263	2272	8057
264	2280	8046
265	2288	8035
266	2297	8026
267	2304	8015
268	2313	8006
269	2322	8000
270	2330	7989
271	2338	7980
272	2347	7970
273	2355	7959
274	2362	7947
275	2370	7935
276	2379	7929
277	2388	7922
278	2396	7911
279	2404	7900
280	2412	7890
281	2422	7885
282	2432	7880
283	2440	7873
284	2449	7862
